Name	expansion
Colony/Platinum	Prosperity
Shelters	Dark Ages
Academy	Renaissance
Acting Troupe	Renaissance
Advance	Empires
Advisor	Guilds
Alchemist	Alchemy
Alliance	Menagerie
Alms	Adventures
Altar	Dark Ages
Ambassador	Seaside
Amulet	Adventures
Animal Fair	Menagerie
Annex	Empires
Anvil	Prosperity
Apothecary	Alchemy
Apprentice	Alchemy
Aqueduct	Empires
Architects' Guild	Allies
Archive	Empires
Arena	Empires
Armory	Dark Ages
Artificer	Adventures
Artisan	Base
Astrolabe	Seaside
Augurs	Allies
Baker	Guilds
Ball	Adventures
Band of Nomads	Allies
Bandit	Base
Bandit Camp	Dark Ages
Bandit Fort	Empires
Band of Misfits	Dark Ages
Banish	Menagerie
Bank	Prosperity
Banquet	Empires
Barbarian	Allies
Bard	Nocturne
Bargain	Menagerie
Barge	Menagerie
Baron	Intrigue
Barracks	Renaissance
Basilica	Empires
Baths	Empires
Battlefield	Empires
Bauble	Allies
Bazaar	Seaside
Beggar	Dark Ages
Berserker	Hinterlands
Bishop	Prosperity
Black Cat	Menagerie
Black Market	Promo
Blessed Village	Nocturne
Blockade	Seaside
Bonfire	Adventures
Border Guard	Renaissance
Border Village	Hinterlands
Borrow	Adventures
Bounty Hunter	Menagerie
Bridge	Intrigue
Bridge Troll	Adventures
Broker	Allies
Bureaucrat	Base
Butcher	Guilds
Cache	Hinterlands
Camel Train	Menagerie
Canal	Renaissance
Candlestick Maker	Guilds
Capital	Empires
Capital City	Allies
Capitalism	Renaissance
Captain	Promo
Caravan	Seaside
Caravan Guard	Adventures
Cardinal	Menagerie
Cargo Ship	Renaissance
Carpenter	Allies
Cartographer	Hinterlands
Castles	Empires
Catacombs	Dark Ages
Catapult/Rocks	Empires
Cathedral	Renaissance
Cauldron	Hinterlands
Cavalry	Menagerie
Cave Dwellers	Allies
Cellar	Base
Cemetery	Nocturne
Changeling	Nocturne
Chapel	Base
Chariot Race	Empires
Charlatan	Prosperity
Charm	Empires
Church	Promo
Circle of Witches	Allies
Citadel	Renaissance
City	Prosperity
City-state	Allies
City Gate	Renaissance
City Quarter	Empires
Clashes	Allies
Clerk	Prosperity
Coastal Haven	Allies
Cobbler	Nocturne
Coin of the Realm	Adventures
Collection	Prosperity
Colonnade	Empires
Commerce	Menagerie
Conclave	Nocturne
Conquest	Empires
Conspirator	Intrigue
Contraband	Prosperity
Contract	Allies
Corsair	Seaside
Council Room	Base
Count	Dark Ages
Counterfeit	Dark Ages
Counting House	Prosperity
Courier	Allies
Courtier	Intrigue
Courtyard	Intrigue
Coven	Menagerie
Crafters' Guild	Allies
Crop Rotation	Renaissance
Crossroads	Hinterlands
Crown	Empires
Crypt	Nocturne
Crystal Ball	Prosperity
Cultist	Dark Ages
Cursed Village	Nocturne
Cutpurse	Seaside
Death Cart	Dark Ages
Defiled Shrine	Empires
Delay	Menagerie
Delve	Empires
Demand	Menagerie
Den of Sin	Nocturne
Desert Guides	Allies
Desperation	Menagerie
Destrier	Menagerie
Develop	Hinterlands
Devil's Workshop	Nocturne
Diplomat	Intrigue
Dismantle	Promo
Displace	Menagerie
Distant Lands	Adventures
Doctor	Guilds
Dominate	Empires
Donate	Empires
Druid	Nocturne
Ducat	Renaissance
Duchess	Hinterlands
Duke	Intrigue
Dungeon	Adventures
Duplicate	Adventures
Embargo	Seaside
Embassy	Hinterlands
Emissary	Allies
Encampment/Plunder	Empires
Enchantress	Empires
Enclave	Menagerie
Engineer	Empires
Enhance	Menagerie
Envoy	Promo
Exorcist	Nocturne
Expand	Prosperity
Expedition	Adventures
Experiment	Renaissance
Exploration	Renaissance
Explorer	Seaside
Fair	Renaissance
Fairgrounds	Cornucopia
Faithful Hound	Nocturne
Falconer	Menagerie
Familiar	Alchemy
Family of Inventors	Allies
Farmers' Market	Empires
Farming Village	Cornucopia
Farmland	Hinterlands
Fellowship of Scribes	Allies
Feodum	Dark Ages
Ferry	Adventures
Festival	Base
Fisherman	Menagerie
Fishing Village	Seaside
Flag Bearer	Renaissance
Fleet	Renaissance
Fool	Nocturne
Fool's Gold	Hinterlands
Forager	Dark Ages
Forest Dwellers	Allies
Forge	Prosperity
Fortress	Dark Ages
Forts	Allies
Fortune Teller	Cornucopia
Forum	Empires
Fountain	Empires
Galleria	Allies
Gamble	Menagerie
Gang of Pickpockets	Allies
Gardens	Base
Gatekeeper	Menagerie
Gear	Adventures
Ghost Ship	Seaside
Ghost Town	Nocturne
Giant	Adventures
Gladiator/Fortune	Empires
Goatherd	Menagerie
Golem	Alchemy
Goons	Prosperity
Governor	Promo
Grand Market	Prosperity
Graverobber	Dark Ages
Groom	Menagerie
Groundskeeper	Empires
Guard Dog	Hinterlands
Guardian	Nocturne
Guide	Adventures
Guildhall	Renaissance
Guildmaster	Allies
Haggler	Hinterlands
Hamlet	Cornucopia
Harbinger	Base
Harem	Intrigue
Harvest	Cornucopia
Haunted Woods	Adventures
Haven	Seaside
Herald	Guilds
Herbalist	Alchemy
Hermit	Dark Ages
Hideout	Renaissance
Highway	Hinterlands
Highwayman	Allies
Hireling	Adventures
Hoard	Prosperity
Horn of Plenty	Cornucopia
Horse Traders	Cornucopia
Hostelry	Menagerie
Hunter	Allies
Hunting Grounds	Dark Ages
Hunting Lodge	Menagerie
Hunting Party	Cornucopia
Idol	Nocturne
Ill-Gotten Gains	Hinterlands
Importer	Allies
Improve	Renaissance
Inheritance	Adventures
Inn	Hinterlands
Innkeeper	Allies
Innovation	Renaissance
Inventor	Renaissance
Invest	Menagerie
Investment	Prosperity
Ironmonger	Dark Ages
Ironworks	Intrigue
Island	Seaside
Island Folk	Allies
Jack of All Trades	Hinterlands
Jester	Cornucopia
Journeyman	Guilds
Junk Dealer	Dark Ages
Keep	Empires
Kiln	Menagerie
King's Court	Prosperity
Knights	Dark Ages
Laboratory	Base
Labyrinth	Empires
Lackeys	Renaissance
League of Bankers	Allies
League of Shopkeepers	Allies
Legionary	Empires
Leprechaun	Nocturne
Library	Base
Lighthouse	Seaside
Livery	Menagerie
Loan	Prosperity
Lookout	Seaside
Lost Arts	Adventures
Lost City	Adventures
Lurker	Intrigue
Magnate	Prosperity
Magpie	Adventures
Mandarin	Hinterlands
Marauder	Dark Ages
March	Menagerie
Margrave	Hinterlands
Market	Base
Market Towns	Allies
Market Square	Dark Ages
Marquis	Allies
Masquerade	Intrigue
Mastermind	Menagerie
Masterpiece	Guilds
Menagerie	Cornucopia
Merchant	Base
Merchant Camp	Allies
Merchant Guild	Guilds
Merchant Ship	Seaside
Messenger	Adventures
Militia	Base
Mill	Intrigue
